Brand,Model,Battery_Life_Minutes,Charging_Time_Hours,Dustbin_Capacity_ml,Suction_Power_Pa,Noise_Level_dB,WiFi_Connectivity,App_Control,Voice_Control,Mapping_Technology,Obstacle_Avoidance,HEPA_Filter,Auto_Dock,Runtime_Adjustment,Carpet_Boost,Number_of_Sensors,Weight_kg,Height_cm,Smart_Scheduling,Multi_Floor_Mapping,Mop_Function,Self_Emptying,Price_USD
Proscenic,Proscenic R86,188,5.2,445,2508,57,No,Yes,No,Camera,No,Yes,No,Yes,Yes,19,2.8,7.1,No,Yes,Yes,No,598
Dreame,Dreame V92 Pro,115,5.7,648,5781,56,No,Yes,Yes,Lidar+Camera,No,Yes,No,No,Yes,17,2.9,7.2,No,No,No,No,689
iRobot,iRobot S98,198,4.6,572,4044,65,No,Yes,Yes,Lidar,No,No,No,No,Yes,17,3.3,7.9,Yes,No,Yes,No,220
LG,LG R44,69,5.0,361,3679,62,Yes,Yes,Yes,Infrared,No,No,No,Yes,No,6,4.7,9.1,Yes,Yes,Yes,Yes,1152
Neato,Neato X57 Max,60,4.2,651,3994,57,Yes,Yes,Yes,Lidar,No,No,Yes,No,Yes,19,5.1,9.1,No,No,Yes,Yes,963
Roborock,Roborock R55 Pro,138,4.1,488,1648,69,Yes,No,No,Infrared,No,Yes,No,No,No,16,4.8,9.5,Yes,Yes,Yes,Yes,1137
iRobot,iRobot S93 Max,112,5.2,695,2623,62,Yes,Yes,No,Lidar,No,No,Yes,No,Yes,13,3.7,9.2,No,Yes,No,Yes,349
Roborock,Roborock V32 Max,162,3.6,397,1785,55,Yes,No,Yes,Infrared,No,No,Yes,Yes,Yes,17,3.7,9.5,No,No,Yes,No,581
Eufy,Eufy V43,146,3.8,482,4285,65,Yes,No,No,Infrared,Yes,Yes,Yes,Yes,No,13,4.5,10.4,Yes,No,No,Yes,1090
Xiaomi,Xiaomi S73 Pro,85,5.2,451,2618,68,No,No,Yes,Lidar+Camera,No,No,No,No,No,14,3.2,10.1,Yes,No,Yes,Yes,214
Dreame,Dreame X98 Pro,146,5.7,551,4006,55,No,Yes,Yes,Infrared,No,No,Yes,No,No,8,5.3,10.5,No,No,Yes,No,1114
Dreame,Dreame X76 Max,186,5.6,663,2730,68,Yes,No,No,Lidar+Camera,No,No,No,No,Yes,7,4.7,8.4,No,Yes,Yes,Yes,374
iRobot,iRobot V38 Ultra,61,5.6,516,1787,64,No,No,Yes,Camera,No,No,No,No,Yes,20,2.7,10.6,No,Yes,No,Yes,737
Eufy,Eufy X31 Ultra,86,3.6,580,2860,62,Yes,No,No,Lidar+Camera,No,Yes,Yes,No,No,10,3.6,9.6,No,No,No,Yes,1185
Ecovacs,Ecovacs S39,153,4.7,654,3423,61,Yes,Yes,Yes,Lidar+Camera,No,No,No,Yes,Yes,12,3.6,7.7,No,Yes,Yes,Yes,1053
Neato,Neato V57 Max,149,5.8,388,2137,66,No,No,No,Lidar,No,No,Yes,Yes,No,10,5.5,7.0,Yes,No,No,Yes,1111
LG,LG R11,92,5.1,375,1937,59,No,No,Yes,Camera,No,No,No,Yes,Yes,16,4.9,9.8,Yes,No,Yes,Yes,1118
Ecovacs,Ecovacs V13 Ultra,69,2.8,557,5665,69,Yes,Yes,Yes,Lidar+Camera,Yes,No,Yes,No,Yes,19,3.1,7.1,No,No,No,No,181
Dreame,Dreame S37 Pro,200,4.8,673,4382,68,Yes,No,No,Infrared,No,No,Yes,No,Yes,13,3.4,8.1,Yes,Yes,No,Yes,466
Neato,Neato S68 Max,108,3.2,621,1676,69,No,Yes,No,Infrared,Yes,Yes,No,Yes,Yes,13,3.7,11.0,No,No,No,No,664
Xiaomi,Xiaomi S16 Ultra,198,3.7,599,5509,63,No,No,Yes,Infrared,Yes,Yes,No,No,No,12,5.0,7.1,No,No,Yes,No,817
Ecovacs,Ecovacs S45 Max,88,3.1,589,2802,66,Yes,No,Yes,Infrared,No,Yes,No,No,Yes,17,3.2,8.1,Yes,No,No,No,449
Xiaomi,Xiaomi R40 Ultra,73,2.9,384,5766,65,Yes,No,Yes,Lidar+Camera,No,Yes,Yes,Yes,Yes,12,4.0,7.5,No,Yes,Yes,Yes,1036
LG,LG V44,146,4.5,530,3675,63,Yes,No,No,Camera,Yes,No,No,No,No,18,4.8,10.8,Yes,No,Yes,No,1095
Neato,Neato R74 Ultra,79,5.1,464,1890,63,No,No,Yes,Lidar+Camera,No,Yes,No,Yes,Yes,13,3.9,9.5,No,Yes,Yes,Yes,1198
Roborock,Roborock X10,171,2.6,442,2689,59,No,No,No,Camera,No,No,No,No,Yes,13,4.7,8.0,No,Yes,Yes,Yes,845
Eufy,Eufy V23 Max,122,5.8,389,2754,67,Yes,Yes,No,Lidar,Yes,Yes,No,Yes,Yes,18,5.3,7.4,Yes,No,Yes,Yes,161
Neato,Neato X43 Max,89,5.4,611,4767,60,Yes,Yes,No,Infrared,No,No,Yes,No,No,18,3.4,10.4,Yes,No,Yes,Yes,1101
Ecovacs,Ecovacs R50 Ultra,159,2.9,361,4195,62,Yes,No,No,Camera,No,No,Yes,No,No,13,5.1,10.1,No,Yes,Yes,Yes,434
Neato,Neato V98,151,5.5,454,5013,59,Yes,No,No,Camera,No,No,Yes,Yes,No,8,4.0,8.8,No,No,Yes,No,406
Ecovacs,Ecovacs V53 Max,102,5.1,365,1870,63,No,Yes,Yes,Lidar,Yes,Yes,No,Yes,No,11,4.1,9.1,No,No,Yes,Yes,789
Proscenic,Proscenic X14 Pro,88,3.0,533,2186,63,No,No,Yes,Camera,Yes,Yes,No,Yes,No,13,3.2,10.0,No,No,No,No,949
Roborock,Roborock S63 Pro,64,5.4,687,3026,68,No,Yes,No,Infrared,Yes,Yes,No,Yes,Yes,16,3.9,8.5,No,Yes,Yes,Yes,786
Xiaomi,Xiaomi S18 Max,147,3.1,462,3336,60,Yes,Yes,No,Lidar+Camera,No,Yes,Yes,No,No,11,3.8,7.5,No,Yes,No,Yes,586
iRobot,iRobot V8 Pro,79,4.1,508,3230,63,Yes,Yes,No,Lidar+Camera,No,Yes,No,Yes,No,19,3.6,7.4,No,Yes,No,Yes,895
Neato,Neato S78 Pro,160,4.3,511,3848,70,Yes,No,Yes,Lidar+Camera,No,Yes,No,No,Yes,10,3.3,7.7,No,No,No,No,181
Eufy,Eufy R79 Ultra,79,5.4,489,4823,57,No,No,No,Camera,Yes,No,No,Yes,Yes,9,3.4,8.2,No,Yes,Yes,No,608
Neato,Neato X89 Max,147,2.5,630,5272,67,No,No,No,Camera,No,Yes,No,No,No,16,3.9,9.7,No,Yes,No,Yes,645
Neato,Neato V97,148,2.8,654,5631,57,Yes,No,Yes,Camera,No,No,No,No,Yes,19,2.6,8.2,Yes,No,Yes,Yes,683
Ecovacs,Ecovacs S62 Ultra,68,4.6,564,2704,56,No,Yes,Yes,Lidar,No,Yes,Yes,No,No,20,5.0,10.9,No,Yes,No,Yes,439
Eufy,Eufy R44,169,2.7,550,1555,64,No,No,Yes,Lidar+Camera,Yes,Yes,No,Yes,No,8,2.9,8.5,Yes,No,Yes,No,387
Samsung,Samsung S32 Max,184,5.2,369,5762,67,Yes,No,Yes,Lidar,Yes,Yes,No,No,Yes,17,5.5,9.4,No,No,Yes,No,534
Neato,Neato S41 Pro,189,5.4,661,3303,59,No,Yes,Yes,Camera,Yes,No,No,Yes,No,18,2.6,10.7,No,No,Yes,Yes,1037
iRobot,iRobot X25 Ultra,134,4.4,695,1877,65,No,Yes,No,Lidar+Camera,Yes,Yes,No,No,Yes,17,5.2,8.0,Yes,No,Yes,Yes,690
Eufy,Eufy R11 Ultra,172,2.9,491,2179,68,No,No,No,Lidar,No,No,Yes,Yes,No,9,4.2,8.7,No,No,No,No,362
iRobot,iRobot R33 Ultra,106,4.3,641,4245,61,No,Yes,Yes,Lidar,Yes,No,No,No,No,6,2.9,9.3,No,No,Yes,Yes,289
Dreame,Dreame X88 Pro,185,3.1,489,3539,60,No,No,No,Lidar,No,Yes,No,Yes,Yes,8,5.1,7.4,Yes,Yes,Yes,No,931
Xiaomi,Xiaomi V15,180,3.7,399,2520,64,Yes,No,Yes,Lidar+Camera,No,No,Yes,Yes,No,14,4.1,9.8,No,No,No,Yes,374
Proscenic,Proscenic S78 Pro,155,5.3,479,1834,67,No,Yes,Yes,Camera,Yes,No,No,Yes,Yes,14,3.2,10.8,No,Yes,No,No,920
Xiaomi,Xiaomi V10 Max,121,4.3,695,1675,67,Yes,No,No,Lidar,No,No,Yes,Yes,No,10,3.5,9.7,No,No,Yes,No,558
iRobot,iRobot V14 Max,179,4.7,442,2931,62,No,Yes,Yes,Lidar,No,No,No,Yes,Yes,7,4.9,9.9,No,No,Yes,No,305
Samsung,Samsung V51 Ultra,129,4.1,696,4122,57,No,No,No,Lidar,No,No,No,Yes,Yes,13,4.5,8.4,No,No,Yes,No,183
Xiaomi,Xiaomi X58,62,3.3,449,5121,68,No,No,Yes,Lidar,Yes,Yes,No,Yes,Yes,14,2.9,7.2,Yes,No,No,Yes,1168
Ecovacs,Ecovacs X43 Max,168,3.7,482,2305,68,Yes,No,Yes,Lidar+Camera,No,No,Yes,Yes,Yes,13,5.0,9.3,Yes,No,Yes,Yes,274
Neato,Neato S84,92,3.7,469,4512,59,Yes,No,Yes,Camera,Yes,Yes,No,Yes,Yes,14,3.7,9.9,No,No,Yes,Yes,915
Proscenic,Proscenic S94 Pro,123,3.7,582,2029,67,No,Yes,Yes,Lidar,No,No,No,No,Yes,17,4.1,9.2,No,Yes,Yes,No,152
Samsung,Samsung V8,107,5.1,594,3556,68,No,Yes,Yes,Lidar,No,Yes,No,Yes,No,15,4.0,7.7,No,No,No,No,219
Eufy,Eufy X58 Ultra,86,3.5,633,2942,69,No,Yes,No,Camera,Yes,Yes,No,No,Yes,8,5.0,9.2,No,No,No,Yes,708
LG,LG V8 Pro,197,5.1,421,1710,68,Yes,Yes,Yes,Infrared,No,Yes,Yes,No,No,8,4.3,9.4,Yes,Yes,Yes,Yes,236
Proscenic,Proscenic V99,151,4.3,644,2853,62,Yes,Yes,No,Camera,Yes,No,No,Yes,No,9,3.0,9.6,Yes,No,No,No,1009
LG,LG R88,63,4.9,581,2130,58,No,Yes,Yes,Lidar+Camera,No,Yes,No,Yes,Yes,15,3.2,7.2,Yes,No,No,Yes,872
Proscenic,Proscenic X22 Max,64,2.7,535,3855,70,No,No,No,Lidar+Camera,No,No,No,Yes,No,16,5.2,8.1,No,Yes,No,Yes,800
Samsung,Samsung X18 Max,97,4.0,359,3392,60,No,No,No,Infrared,Yes,Yes,No,No,No,20,4.3,9.3,Yes,Yes,Yes,No,275
Neato,Neato R94 Max,96,6.0,659,4362,70,No,Yes,Yes,Camera,No,No,Yes,Yes,Yes,18,4.0,10.2,Yes,Yes,Yes,No,273
LG,LG S49 Pro,75,2.7,685,5772,70,Yes,No,Yes,Infrared,No,No,No,No,Yes,11,4.5,9.9,No,No,No,No,721
Samsung,Samsung V45 Ultra,145,4.0,351,1753,58,No,No,No,Lidar+Camera,No,No,Yes,No,No,13,4.4,10.4,No,No,No,Yes,219
Neato,Neato V16 Ultra,157,5.0,616,2614,69,Yes,Yes,Yes,Camera,No,Yes,Yes,Yes,Yes,20,3.2,7.4,No,Yes,Yes,Yes,891
Samsung,Samsung V65 Pro,197,4.3,439,4544,61,No,Yes,No,Infrared,Yes,No,Yes,No,Yes,16,3.8,11.0,No,Yes,No,No,823
iRobot,iRobot V95,175,6.0,370,3863,62,Yes,Yes,No,Lidar,Yes,Yes,No,Yes,No,19,3.7,10.5,No,Yes,No,No,868
Neato,Neato S12 Pro,162,2.6,447,4313,56,No,No,Yes,Lidar+Camera,Yes,Yes,No,Yes,Yes,15,3.9,8.1,Yes,Yes,Yes,Yes,427
Neato,Neato R51 Pro,164,4.0,453,5640,55,Yes,Yes,Yes,Camera,Yes,Yes,Yes,No,No,19,3.2,8.1,No,No,No,Yes,425
Xiaomi,Xiaomi X69 Ultra,170,2.7,686,3883,56,No,No,No,Lidar+Camera,Yes,No,No,No,No,14,5.1,8.3,Yes,Yes,Yes,No,844
Xiaomi,Xiaomi X13 Ultra,189,5.7,498,4396,67,No,No,Yes,Infrared,Yes,No,No,Yes,No,16,5.4,7.6,No,No,No,Yes,307
Proscenic,Proscenic R58 Max,159,2.8,691,3809,64,Yes,No,No,Camera,No,No,Yes,Yes,No,7,2.9,10.0,Yes,Yes,No,No,446
Proscenic,Proscenic X30 Pro,165,3.9,632,2281,57,Yes,Yes,Yes,Camera,No,No,Yes,Yes,Yes,9,5.4,7.3,No,No,No,No,1149
Roborock,Roborock X47 Ultra,131,2.9,534,2214,68,Yes,No,No,Lidar,No,Yes,Yes,Yes,Yes,12,3.0,8.3,Yes,Yes,No,No,921
Proscenic,Proscenic V46 Ultra,135,5.0,636,5376,65,Yes,Yes,Yes,Infrared,Yes,No,No,No,No,14,2.8,8.1,No,No,Yes,No,540
Roborock,Roborock S48,93,4.6,655,2034,63,Yes,No,Yes,Lidar,No,No,Yes,Yes,No,11,4.8,10.5,No,No,Yes,No,298
Proscenic,Proscenic R96 Ultra,92,5.0,693,3380,66,No,No,Yes,Lidar,Yes,No,Yes,No,Yes,6,5.1,9.4,Yes,Yes,Yes,Yes,1071
Dreame,Dreame X43 Ultra,159,3.2,403,2115,63,No,Yes,No,Lidar+Camera,No,No,Yes,No,No,8,3.8,10.0,Yes,No,No,Yes,888
Dreame,Dreame R27 Max,102,6.0,621,2927,70,No,Yes,Yes,Lidar,No,No,Yes,No,No,20,5.4,10.0,No,No,No,Yes,874
Ecovacs,Ecovacs V22 Pro,183,3.8,451,4016,67,No,Yes,No,Infrared,No,No,Yes,Yes,Yes,19,2.9,11.0,Yes,Yes,Yes,No,902
Proscenic,Proscenic V60 Max,84,5.2,358,5291,70,No,No,Yes,Lidar,Yes,No,No,No,No,8,5.3,9.0,No,No,Yes,No,401
Eufy,Eufy X54 Pro,182,5.4,533,5577,66,Yes,No,No,Lidar+Camera,Yes,No,Yes,No,Yes,10,5.1,8.8,No,No,Yes,Yes,710
Samsung,Samsung V54,82,4.4,692,2884,61,Yes,Yes,Yes,Camera,Yes,No,Yes,Yes,No,6,5.3,9.5,Yes,No,Yes,No,665
Proscenic,Proscenic S17 Max,67,3.3,581,1652,58,Yes,No,Yes,Infrared,No,Yes,No,No,No,12,4.0,10.6,No,Yes,No,Yes,688
Ecovacs,Ecovacs X18,93,3.4,414,2556,66,Yes,Yes,Yes,Camera,No,No,Yes,No,No,10,4.4,9.5,No,No,No,No,877
Samsung,Samsung S79 Pro,100,5.4,557,5551,58,Yes,Yes,No,Infrared,No,Yes,No,No,No,17,3.4,10.1,No,Yes,Yes,No,776
Samsung,Samsung R95,142,4.2,535,5133,58,No,Yes,No,Lidar,No,No,No,No,Yes,8,4.1,8.9,No,No,No,Yes,757
LG,LG R31 Ultra,90,5.3,670,5593,66,Yes,No,No,Infrared,Yes,No,Yes,Yes,No,6,3.4,8.3,No,Yes,No,Yes,626
Proscenic,Proscenic R12 Ultra,113,5.8,579,2879,63,Yes,Yes,Yes,Camera,Yes,Yes,Yes,No,No,18,5.5,7.1,No,No,Yes,No,649
Eufy,Eufy S7,129,3.2,658,2534,61,No,No,Yes,Camera,No,Yes,Yes,No,No,9,3.5,10.2,No,No,Yes,Yes,997
Eufy,Eufy S59 Ultra,93,3.3,632,3221,60,No,No,No,Infrared,No,No,Yes,Yes,Yes,19,3.2,8.0,Yes,No,No,Yes,850
iRobot,iRobot R62 Ultra,140,5.4,478,4489,55,No,Yes,No,Lidar+Camera,No,No,No,Yes,No,16,4.6,10.2,No,No,Yes,No,476
Neato,Neato X69 Ultra,174,3.4,690,5440,69,Yes,Yes,No,Lidar,No,No,No,Yes,Yes,17,3.3,8.5,No,Yes,Yes,Yes,640
Neato,Neato V48 Ultra,71,3.7,516,2666,57,No,Yes,No,Infrared,Yes,Yes,No,No,No,7,4.7,7.9,Yes,Yes,Yes,Yes,491
LG,LG V25 Ultra,181,2.7,626,1919,64,No,No,Yes,Lidar,Yes,No,No,Yes,No,6,4.6,9.3,No,No,Yes,No,799
Ecovacs,Ecovacs S65,174,6.0,428,3905,63,No,No,No,Lidar+Camera,No,Yes,No,Yes,No,13,5.1,10.2,No,Yes,No,Yes,955
Neato,Neato R75 Max,115,5.1,628,3232,70,No,No,Yes,Infrared,No,No,No,Yes,No,18,2.9,8.3,No,Yes,No,No,1105
Ecovacs,Ecovacs S75 Pro,146,5.4,403,5808,60,Yes,No,Yes,Lidar,No,Yes,No,Yes,No,17,5.5,7.7,Yes,No,No,Yes,522
Samsung,Samsung X31 Max,81,5.8,353,4379,63,No,No,Yes,Infrared,No,Yes,Yes,No,No,13,4.0,7.1,Yes,Yes,Yes,No,679
Eufy,Eufy V73 Max,121,2.9,417,5211,57,No,Yes,No,Lidar+Camera,Yes,Yes,Yes,Yes,Yes,16,4.2,8.8,No,No,No,Yes,323
Samsung,Samsung R91 Pro,165,5.8,416,2759,62,No,Yes,Yes,Infrared,Yes,No,No,Yes,No,17,3.7,9.3,No,Yes,Yes,No,1163
Proscenic,Proscenic S30 Max,102,4.8,671,2342,63,No,Yes,Yes,Infrared,No,Yes,No,Yes,Yes,7,2.9,8.0,No,No,No,No,788
Roborock,Roborock S96 Pro,175,5.0,380,4820,67,No,No,Yes,Lidar,Yes,Yes,Yes,No,No,6,2.9,7.5,Yes,Yes,Yes,No,980
Ecovacs,Ecovacs V73,188,3.6,480,1900,63,Yes,Yes,No,Lidar,Yes,Yes,No,No,No,7,4.5,7.0,No,Yes,No,No,999
iRobot,iRobot S89,178,2.7,567,4394,58,No,No,No,Camera,Yes,No,No,Yes,No,19,2.6,10.9,Yes,Yes,No,Yes,649
Proscenic,Proscenic X19,114,3.6,503,5974,62,No,Yes,No,Lidar,Yes,Yes,Yes,Yes,No,10,3.8,8.8,Yes,No,Yes,No,216
Samsung,Samsung S50,197,5.6,383,2917,62,No,No,No,Infrared,No,No,Yes,Yes,Yes,13,4.0,8.3,No,Yes,Yes,No,278
Proscenic,Proscenic V60 Max,112,5.7,466,2486,59,Yes,No,Yes,Lidar,No,No,Yes,Yes,No,7,3.1,9.1,No,Yes,No,Yes,723
Dreame,Dreame X60,99,3.7,442,3866,55,Yes,Yes,No,Infrared,No,Yes,No,No,No,8,4.5,7.4,Yes,Yes,Yes,No,628
Neato,Neato R33 Ultra,139,4.1,563,4240,68,No,No,No,Lidar+Camera,Yes,No,Yes,No,Yes,18,5.5,10.8,No,No,Yes,No,647
Neato,Neato X92,97,3.2,357,3882,68,No,Yes,Yes,Infrared,Yes,No,Yes,No,No,11,4.9,10.7,No,Yes,No,Yes,446
iRobot,iRobot R76,127,6.0,694,2603,57,No,Yes,Yes,Lidar+Camera,No,No,No,No,No,12,5.1,10.0,No,Yes,Yes,Yes,1058
Roborock,Roborock S58 Max,177,5.5,455,5873,60,No,Yes,Yes,Lidar+Camera,No,No,Yes,Yes,Yes,12,5.4,8.2,Yes,No,Yes,No,868
Samsung,Samsung S11 Ultra,143,5.1,437,1928,64,No,Yes,Yes,Camera,No,No,No,No,No,17,3.3,11.0,Yes,No,Yes,Yes,901
Neato,Neato S37 Ultra,169,3.5,661,4474,70,Yes,No,No,Camera,Yes,Yes,Yes,Yes,Yes,19,5.3,8.5,Yes,Yes,Yes,Yes,540
iRobot,iRobot V46,183,4.8,368,5017,68,Yes,Yes,No,Lidar,Yes,No,No,Yes,No,19,4.5,8.0,No,No,Yes,Yes,1115
Eufy,Eufy X88 Ultra,179,2.8,538,2305,67,No,No,Yes,Lidar,No,Yes,No,Yes,No,16,5.0,9.8,Yes,Yes,Yes,No,498
Samsung,Samsung V10 Max,195,5.1,614,3146,69,No,No,Yes,Lidar,Yes,No,No,Yes,No,20,3.9,7.3,Yes,No,Yes,Yes,903
Roborock,Roborock R15 Max,71,4.7,561,1924,66,No,No,No,Camera,No,Yes,No,No,Yes,18,3.4,7.1,No,No,Yes,No,157
Samsung,Samsung R10 Ultra,139,3.6,676,4634,59,Yes,No,No,Camera,Yes,Yes,No,No,No,9,4.3,8.8,No,No,No,No,481
Roborock,Roborock S17 Pro,123,3.2,498,4589,60,No,Yes,Yes,Lidar+Camera,Yes,No,No,Yes,Yes,10,3.1,9.1,No,No,No,No,323
LG,LG R44,148,4.7,539,5501,68,Yes,Yes,Yes,Lidar,Yes,No,Yes,Yes,No,11,2.6,10.2,Yes,No,Yes,No,444
Xiaomi,Xiaomi X78,196,3.8,440,5700,56,No,Yes,No,Lidar+Camera,No,No,No,Yes,No,20,4.4,7.5,Yes,Yes,Yes,Yes,915
Roborock,Roborock R73 Pro,118,3.3,524,3334,65,Yes,No,Yes,Camera,No,No,Yes,Yes,Yes,6,4.1,10.3,Yes,No,No,No,197
Eufy,Eufy R77 Ultra,123,3.4,444,1712,67,No,Yes,Yes,Lidar,No,No,Yes,No,No,20,4.6,9.7,Yes,Yes,No,No,288
Ecovacs,Ecovacs V63 Max,138,4.1,365,1832,64,Yes,Yes,Yes,Lidar+Camera,No,Yes,Yes,No,Yes,12,5.0,10.5,Yes,No,No,Yes,908
Roborock,Roborock R62 Max,128,4.2,560,3880,63,No,Yes,Yes,Lidar,No,Yes,Yes,No,Yes,10,2.5,7.6,Yes,Yes,No,No,821
Roborock,Roborock R35 Ultra,74,3.0,646,3179,58,No,Yes,No,Lidar,Yes,No,Yes,Yes,No,16,4.3,10.9,Yes,Yes,No,No,252
Neato,Neato R37 Pro,139,5.9,580,4995,68,Yes,Yes,Yes,Infrared,No,No,Yes,No,Yes,13,5.1,9.4,No,No,No,No,299
Ecovacs,Ecovacs V81 Ultra,179,4.8,671,3130,63,No,Yes,No,Lidar+Camera,Yes,No,Yes,Yes,No,19,4.9,9.1,No,No,No,Yes,412
Eufy,Eufy X28 Pro,137,4.7,475,4928,66,No,Yes,No,Lidar,Yes,No,No,No,No,13,3.5,8.1,No,No,No,Yes,391
Dreame,Dreame X81 Pro,181,5.9,457,2574,56,Yes,Yes,No,Lidar,Yes,No,No,No,Yes,13,5.3,9.3,No,No,No,No,390
Neato,Neato V45 Ultra,174,3.1,651,4841,61,Yes,Yes,Yes,Infrared,No,Yes,Yes,No,No,16,3.3,10.4,Yes,No,Yes,No,443
LG,LG S98 Pro,110,4.3,370,1910,64,No,No,No,Lidar,No,No,No,Yes,Yes,12,4.0,7.9,Yes,No,No,No,691
Dreame,Dreame V35 Max,142,4.3,523,5741,57,No,No,No,Lidar+Camera,Yes,Yes,No,No,No,10,4.0,10.8,No,No,No,No,588
Roborock,Roborock R91 Ultra,192,3.0,611,1792,59,No,Yes,Yes,Lidar,No,No,No,Yes,No,16,4.8,7.2,No,Yes,Yes,No,965
Xiaomi,Xiaomi X61 Pro,188,6.0,541,3081,61,No,Yes,No,Lidar+Camera,No,Yes,No,No,Yes,17,2.7,10.6,Yes,No,Yes,Yes,888
Samsung,Samsung V10 Pro,200,4.5,590,2321,69,Yes,Yes,Yes,Lidar+Camera,Yes,Yes,Yes,Yes,No,17,3.0,7.2,No,No,No,Yes,1078
Dreame,Dreame X36 Ultra,123,3.7,428,3073,63,No,No,Yes,Lidar+Camera,No,No,No,No,No,8,4.7,7.4,No,Yes,No,Yes,166
Xiaomi,Xiaomi V41 Ultra,165,2.6,608,4460,65,Yes,Yes,Yes,Camera,No,No,Yes,No,No,14,4.0,7.4,Yes,No,Yes,Yes,742
Neato,Neato V37 Max,140,4.1,409,3246,55,Yes,Yes,No,Camera,Yes,No,No,Yes,No,19,4.3,10.3,No,Yes,No,Yes,324
Eufy,Eufy X29 Max,92,5.2,625,1771,62,No,No,No,Camera,Yes,Yes,Yes,Yes,No,20,5.0,10.4,No,Yes,Yes,No,651
LG,LG V90 Pro,123,4.2,675,5445,66,No,Yes,Yes,Infrared,No,No,Yes,Yes,Yes,19,2.6,7.6,No,Yes,No,Yes,910
iRobot,iRobot X59 Max,147,5.0,695,4792,63,Yes,Yes,Yes,Lidar+Camera,No,No,No,Yes,Yes,18,4.3,10.3,Yes,Yes,Yes,No,1008
Dreame,Dreame S79 Ultra,179,5.1,616,5997,69,Yes,No,No,Lidar+Camera,Yes,No,Yes,No,Yes,6,3.2,7.4,No,No,Yes,No,294
LG,LG R6,142,3.4,473,2227,70,No,Yes,No,Infrared,Yes,Yes,No,Yes,No,6,5.2,7.2,No,Yes,No,No,807
iRobot,iRobot R6 Max,112,3.8,683,5404,63,Yes,No,No,Lidar+Camera,No,No,Yes,No,No,16,2.7,9.5,Yes,Yes,Yes,No,766
Dreame,Dreame S92 Max,74,5.8,469,1656,64,No,Yes,No,Lidar,No,Yes,No,Yes,Yes,16,4.5,10.9,Yes,No,No,No,1074
Proscenic,Proscenic S86 Pro,93,4.5,554,3434,57,Yes,Yes,No,Lidar,No,Yes,Yes,Yes,No,10,5.4,7.5,Yes,No,No,Yes,621
Eufy,Eufy V81 Max,155,3.8,359,2370,67,No,Yes,No,Camera,No,No,Yes,No,Yes,11,4.6,7.4,No,Yes,Yes,Yes,1089
LG,LG X50 Max,80,4.6,557,3881,62,Yes,No,No,Camera,Yes,No,No,No,No,17,4.6,8.4,No,Yes,Yes,No,614
Neato,Neato S91,134,2.6,523,5096,70,Yes,No,No,Camera,No,No,Yes,No,Yes,14,4.0,9.0,No,Yes,No,Yes,640
Roborock,Roborock X83 Ultra,123,5.4,638,2830,60,No,Yes,Yes,Infrared,No,Yes,No,No,No,16,3.4,8.4,Yes,No,No,Yes,424
Roborock,Roborock X99 Max,99,4.3,514,5107,59,No,Yes,No,Infrared,Yes,Yes,No,No,No,8,3.5,8.3,No,Yes,No,Yes,1119
Samsung,Samsung S41,93,5.9,538,2650,56,Yes,Yes,No,Lidar,No,No,No,Yes,No,12,3.6,7.4,No,Yes,No,No,244
LG,LG R85 Pro,178,5.2,504,4315,58,No,Yes,No,Camera,Yes,No,No,Yes,No,13,4.3,10.8,Yes,No,Yes,Yes,164
Roborock,Roborock X97 Ultra,89,3.1,464,2169,56,No,Yes,No,Lidar+Camera,Yes,No,Yes,Yes,No,11,5.2,10.3,Yes,Yes,Yes,No,882
Roborock,Roborock V72 Pro,144,4.1,593,2087,63,No,Yes,No,Camera,No,Yes,No,Yes,Yes,12,3.7,9.7,No,Yes,Yes,Yes,769
Ecovacs,Ecovacs R23 Pro,84,2.9,556,4816,62,Yes,Yes,No,Lidar+Camera,Yes,No,No,No,Yes,19,3.1,10.3,No,Yes,Yes,Yes,299
Xiaomi,Xiaomi S53 Max,171,4.8,586,2102,69,No,Yes,No,Lidar+Camera,Yes,Yes,No,No,Yes,17,4.6,10.1,Yes,Yes,No,Yes,902
Dreame,Dreame S45 Ultra,200,4.3,639,5707,58,No,No,No,Lidar,Yes,Yes,No,No,Yes,11,3.7,7.9,No,No,No,Yes,505
Samsung,Samsung R9,194,5.9,631,1743,62,Yes,No,No,Lidar+Camera,Yes,Yes,Yes,No,No,19,4.1,10.9,Yes,No,No,No,477
Samsung,Samsung R60 Max,152,5.9,373,2649,66,No,Yes,No,Camera,Yes,Yes,Yes,No,Yes,8,4.1,9.5,Yes,No,No,No,683
Roborock,Roborock R64 Ultra,195,3.7,700,4686,63,No,No,No,Camera,Yes,No,Yes,No,Yes,17,5.2,10.5,No,No,Yes,No,343
Ecovacs,Ecovacs R77 Pro,70,5.1,569,3522,63,No,No,No,Camera,No,Yes,Yes,Yes,Yes,17,2.5,9.6,No,No,Yes,Yes,1055
Xiaomi,Xiaomi X22 Max,91,3.4,548,1998,56,Yes,Yes,Yes,Lidar,Yes,Yes,No,Yes,Yes,20,4.9,10.5,No,No,Yes,No,272
Roborock,Roborock R25 Ultra,185,5.6,653,2455,64,No,No,No,Camera,No,No,Yes,No,Yes,10,2.5,9.0,No,Yes,No,Yes,897
